                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[246]                                   0.001  0.002   0.000    0.004      0.000    0.000    3089.0    3747.0   1.00
p_y[247]                                   0.001  0.001   0.000    0.002      0.000    0.000    2022.0    4070.0   1.00
p_y[248]                                   0.002  0.005   0.000    0.009      0.000    0.000    2693.0    4502.0   1.00
p_y[249]                                   0.001  0.002   0.000    0.002      0.000    0.000    2397.0    4138.0   1.00
p_y[250]                                   0.001  0.004   0.000    0.005      0.000    0.000    3110.0    4280.0   1.00
p_y[251]                                   0.001  0.001   0.000    0.002      0.000    0.000    1953.0    4237.0   1.00
p_y[252]                                   0.011  0.022   0.000    0.044      0.000    0.000    3757.0    4383.0   1.00
p_y[253]                                   0.002  0.004   0.000    0.008      0.000    0.000    3754.0    5841.0   1.00
p_y[254]                                   0.001  0.002   0.000    0.003      0.000    0.000    2335.0    3806.0   1.00
p_y[255]                                   0.001  0.003   0.000    0.004      0.000    0.000    2732.0    4257.0   1.00
p_y[256]                                   0.003  0.004   0.000    0.010      0.000    0.000    2816.0    4299.0   1.00
p_y[257]                                   0.009  0.011   0.000    0.027      0.000    0.000    3114.0    3738.0   1.00
p_y[258]                                   0.005  0.007   0.000    0.016      0.000    0.000    4128.0    5382.0   1.00
p_y[259]                                   0.002  0.005   0.000    0.007      0.000    0.000    3082.0    3620.0   1.00
p_y[260]                                   0.010  0.016   0.000    0.034      0.000    0.000    3505.0    4902.0   1.00
p_y[261]                                   0.001  0.002   0.000    0.003      0.000    0.000    3005.0    4496.0   1.00
p_y[262]                                   0.004  0.004   0.000    0.011      0.000    0.000    3211.0    3547.0   1.00
p_y[263]                                   0.004  0.008   0.000    0.016      0.000    0.000    3858.0    4403.0   1.00
p_y[264]                                   0.002  0.005   0.000    0.007      0.000    0.000    3166.0    4737.0   1.00
p_y[265]                                   0.004  0.006   0.000    0.013      0.000    0.000    3723.0    3987.0   1.00
p_y[266]                                   0.002  0.004   0.000    0.006      0.000    0.000    2254.0    3288.0   1.00
p_y[267]                                   0.034  0.051   0.000    0.121      0.001    0.001    2843.0    3045.0   1.00
p_y[268]                                   0.003  0.007   0.000    0.010      0.000    0.000    3130.0    3674.0   1.00
p_y[269]                                   0.002  0.004   0.000    0.006      0.000    0.000    3078.0    3926.0   1.00
p_y[270]                                   0.001  0.003   0.000    0.005      0.000    0.000    2773.0    3954.0   1.00
p_y[271]                                   0.001  0.003   0.000    0.004      0.000    0.000    3161.0    3879.0   1.00
p_y[272]                                   0.020  0.043   0.000    0.083      0.001    0.000    3827.0    4088.0   1.00
p_y[273]                                   0.001  0.002   0.000    0.003      0.000    0.000    2579.0    3553.0   1.00
p_y[274]                                   0.001  0.002   0.000    0.003      0.000    0.000    2895.0    4740.0   1.00
p_y[275]                                   0.001  0.002   0.000    0.005      0.000    0.000    2377.0    4029.0   1.00
p_y[276]                                   0.001  0.002   0.000    0.004      0.000    0.000    2748.0    4812.0   1.00
p_y[277]                                   0.002  0.005   0.000    0.008      0.000    0.000    3372.0    4299.0   1.00
p_y[278]                                   0.002  0.007   0.000    0.008      0.000    0.000    3377.0    4608.0   1.00
p_y[279]                                   0.002  0.004   0.000    0.007      0.000    0.000    3164.0    4509.0   1.00
p_y[280]                                   0.002  0.006   0.000    0.008      0.000    0.000    3245.0    3843.0   1.00
p_y[281]                                   0.002  0.005   0.000    0.007      0.000    0.000    2764.0    3867.0   1.00
p_y[282]                                   0.001  0.004   0.000    0.005      0.000    0.000    3095.0    4565.0   1.00
p_y[283]                                   0.001  0.003   0.000    0.005      0.000    0.000    2752.0    4305.0   1.00
p_y[284]                                   0.001  0.002   0.000    0.003      0.000    0.000    2652.0    4255.0   1.00
p_y[285]                                   0.004  0.010   0.000    0.015      0.000    0.000    3974.0    4310.0   1.00
p_y[286]                                   0.001  0.004   0.000    0.005      0.000    0.000    2598.0    3460.0   1.00
p_y[287]                                   0.001  0.003   0.000    0.004      0.000    0.000    3027.0    5289.0   1.00
